City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
299,goderich,16,CA,1561853003,87,43.74,-81.71,73.0,1.01
300,zhezkazgan,4,KZ,1561853004,68,47.8,67.71,62.24,16.73
301,katsuura,75,JP,1561853004,94,33.93,134.5,80.6,3.36
302,port moresby,20,PG,1561853004,69,-9.47,147.16,80.6,23.04
303,khash,0,IR,1561853004,21,28.22,61.21,74.01,4.88
304,lukulu,1,ZM,1561853004,53,-14.38,23.24,52.29,2.98
305,santa maria da boa vista,57,BR,1561853005,52,-8.8,-39.83,75.45,16.35
306,pangody,0,RU,1561853005,50,65.85,74.49,59.29,5.39
307,bavleny,84,RU,1561853005,82,56.4,39.56,45.83,11.3
308,shabqadar,22,PK,1561853005,39,34.21,71.56,76.97,5.68
309,arman,100,RU,1561853006,85,59.7,150.17,52.38,5.53
310,ciudad bolivar,69,VE,1561853009,67,8.12,-63.55,82.71,11.5
311,ereymentau,0,KZ,1561853009,74,51.62,73.1,53.71,7.63
312,velikiy ustyug,56,RU,1561853009,99,60.76,46.3,53.08,5.7
313,ca mau,100,VN,1561853009,86,9.18,105.15,81.11,3.51
314,mabaruma,23,GY,1561853010,91,8.2,-59.78,74.39,3.18
315,dalvik,34,SE,1561853010,67,57.79,14.13,61.0,6.93
316,busayra,0,JO,1561853010,52,30.74,35.61,79.92,3.51
317,yulara,0,AU,1561852867,38,-25.24,130.99,42.8,6.93
318,saint-augustin,90,CA,1561853010,93,45.63,-73.98,69.01,3.36
319,male,13,UA,1561853012,93,50.74,33.7,47.91,7.9
320,noumea,75,NC,1561853012,83,-22.28,166.46,71.6,4.7
321,laguna,75,BZ,1561853013,78,16.17,-88.94,82.4,4.7
322,calamar,87,CO,1561853013,97,1.96,-72.65,72.25,1.77
323,batagay-alyta,89,RU,1561853014,74,67.8,130.41,44.73,3.18
324,huarmey,23,PE,1561853017,87,-10.07,-78.15,63.7,16.42
325,sambava,24,MG,1561853017,96,-14.27,50.17,66.78,2.89
326,sterling,75,US,1561852946,54,39.0,-77.4,86.0,5.82
327,ballina,40,IE,1561853018,89,54.11,-9.15,59.0,8.99
328,kirakira,62,SB,1561853018,78,-10.46,161.92,82.58,8.75
329,champerico,40,MX,1561853019,65,16.38,-93.6,80.6,14.99
330,meadow lake,75,CA,1561852979,87,54.13,-108.44,53.6,20.8
331,marrakesh,0,MA,1561853019,64,31.63,-7.99,69.8,5.82
332,leh,76,IN,1561853019,45,34.16,77.58,30.71,3.0
333,anadyr,40,RU,1561853020,66,64.73,177.51,55.4,8.95
334,volokonovka,0,RU,1561853020,88,50.48,37.87,47.64,4.9
335,quelimane,0,MZ,1561853020,95,-17.88,36.89,64.58,0.81
336,totma,100,RU,1561853020,97,59.98,42.76,51.96,10.31
337,zacualpan,75,MX,1561853021,94,21.25,-105.17,89.6,6.06
338,faanui,71,PF,1561853022,78,-16.48,-151.75,76.03,24.58
339,coolidge,1,US,1561853022,7,32.98,-111.52,111.99,12.75
340,auki,0,NG,1561853023,69,12.18,6.51,79.68,9.04
341,jumla,15,NP,1561853023,88,29.28,82.18,50.27,3.09
342,scarborough,94,GB,1561852968,82,54.28,-0.41,68.0,12.75
343,bakel,1,SN,1561853023,42,14.9,-12.46,90.72,7.56
344,los llanos de aridane,90,ES,1561853023,73,28.66,-17.92,69.8,8.05
345,barentu,21,ER,1561853024,76,15.11,37.59,73.06,4.36
346,urucui,33,BR,1561852925,61,-7.23,-44.56,75.42,6.13
347,coari,74,BR,1561853024,75,-4.09,-63.14,80.1,2.42
348,samarai,100,PG,1561853024,86,-10.62,150.67,73.76,8.34
349,marsa matruh,40,EG,1561853024,94,31.35,27.25,77.0,6.93
350,nurota,0,UZ,1561853025,49,40.56,65.69,73.4,6.93
351,cayambe,40,EC,1561853029,72,0.04,-78.14,60.8,9.17
352,matata,0,NZ,1561853029,69,-37.89,176.76,62.01,3.0
353,havelock,1,US,1561852902,54,34.88,-76.9,84.2,10.29
354,alpena,1,US,1561853029,51,45.06,-83.43,80.6,11.41
355,batken,63,KG,1561853030,49,40.06,70.82,63.61,1.83
356,ormara,95,PK,1561853030,76,25.21,64.64,83.43,3.18
